PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"29628290","The Immune Landscape of Cancer","Thorsson V, Gibbs DL, Brown SD, Wolf D, Bortone DS, Ou Yang TH, Porta-Pardo E, Gao GF, Plaisier CL, Eddy JA, Ziv E, Culhane AC, Paull EO, Sivakumar IKA, Gentles AJ, Malhotra R, Farshidfar F, Colaprico A, Parker JS, Mose LE, Vo NS, Liu J, Liu Y, Rader J, Dhankani V, Reynolds SM, Bowlby R, Califano A, Cherniack AD, Anastassiou D, Bedognetti D, Mokrab Y, Newman AM, Rao A, Chen K, Krasnitz A, Hu H, Malta TM, Noushmehr H, Pedamallu CS, Bullman S, Ojesina AI, Lamb A, Zhou W, Shen H, Choueiri TK, Weinstein JN, Guinney J, Saltz J, Holt RA, Rabkin CS; Cancer Genome Atlas Research Network, Lazar AJ, Serody JS, Demicco EG, Disis ML, Vincent BG, Shmulevich I.","Immunity. 2018 Apr 17;48(4):812-830.e14. doi: 10.1016/j.immuni.2018.03.023. Epub 2018 Apr 5.","Thorsson V","Immunity","2018","2018/04/10","PMC5982584","NIHMS958212","10.1016/j.immuni.2018.03.023"
"34358469","A proteogenomic portrait of lung squamous cell carcinoma","Satpathy S, Krug K, Jean Beltran PM, Savage SR, Petralia F, Kumar-Sinha C, Dou Y, Reva B, Kane MH, Avanessian SC, Vasaikar SV, Krek A, Lei JT, Jaehnig EJ, Omelchenko T, Geffen Y, Bergstrom EJ, Stathias V, Christianson KE, Heiman DI, Cieslik MP, Cao S, Song X, Ji J, Liu W, Li K, Wen B, Li Y, Gümüş ZH, Selvan ME, Soundararajan R, Visal TH, Raso MG, Parra ER, Babur Ö, Vats P, Anand S, Schraink T, Cornwell M, Rodrigues FM, Zhu H, Mo CK, Zhang Y, da Veiga Leprevost F, Huang C, Chinnaiyan AM, Wyczalkowski MA, Omenn GS, Newton CJ, Schurer S, Ruggles KV, Fenyö D, Jewell SD, Thiagarajan M, Mesri M, Rodriguez H, Mani SA, Udeshi ND, Getz G, Suh J, Li QK, Hostetter G, Paik PK, Dhanasekaran SM, Govindan R, Ding L, Robles AI, Clauser KR, Nesvizhskii AI, Wang P, Carr SA, Zhang B, Mani DR, Gillette MA; Clinical Proteomic Tumor Analysis Consortium.","Cell. 2021 Aug 5;184(16):4348-4371.e40. doi: 10.1016/j.cell.2021.07.016.","Satpathy S","Cell","2021","2021/08/06","PMC8475722","NIHMS1730863","10.1016/j.cell.2021.07.016"
"32138779","Predictable modulation of cancer treatment outcomes by the gut microbiota","Heshiki Y, Vazquez-Uribe R, Li J, Ni Y, Quainoo S, Imamovic L, Li J, Sørensen M, Chow BKC, Weiss GJ, Xu A, Sommer MOA, Panagiotou G.","Microbiome. 2020 Mar 5;8(1):28. doi: 10.1186/s40168-020-00811-2.","Heshiki Y","Microbiome","2020","2020/03/07","PMC7059390","","10.1186/s40168-020-00811-2"
"33674593","Tumor methionine metabolism drives T-cell exhaustion in hepatocellular carcinoma","Hung MH, Lee JS, Ma C, Diggs LP, Heinrich S, Chang CW, Ma L, Forgues M, Budhu A, Chaisaingmongkol J, Ruchirawat M, Ruppin E, Greten TF, Wang XW.","Nat Commun. 2021 Mar 5;12(1):1455. doi: 10.1038/s41467-021-21804-1.","Hung MH","Nat Commun","2021","2021/03/06","PMC7935900","","10.1038/s41467-021-21804-1"
"32885593","SATB2 is a novel biomarker and therapeutic target for cancer","Roy SK, Shrivastava A, Srivastav S, Shankar S, Srivastava RK.","J Cell Mol Med. 2020 Oct;24(19):11064-11069. doi: 10.1111/jcmm.15755. Epub 2020 Sep 4.","Roy SK","J Cell Mol Med","2020","2020/09/05","PMC7576221","","10.1111/jcmm.15755"
"34045730","Nanoparticle-mediated convection-enhanced delivery of a DNA intercalator to gliomas circumvents temozolomide resistance","Wang Y, Jiang Y, Wei D, Singh P, Yu Y, Lee T, Zhang L, Mandl HK, Piotrowski-Daspit AS, Chen X, Li F, Li X, Cheng Y, Josowitz A, Yang F, Zhao Y, Wang F, Zhao Z, Huttner A, Bindra RS, Xiao H, Mark Saltzman W.","Nat Biomed Eng. 2021 Sep;5(9):1048-1058. doi: 10.1038/s41551-021-00728-7. Epub 2021 May 27.","Wang Y","Nat Biomed Eng","2021","2021/05/28","PMC8497438","NIHMS1696735","10.1038/s41551-021-00728-7"
"33567269","Systematic characterization of mutations altering protein degradation in human cancers","Tokheim C, Wang X, Timms RT, Zhang B, Mena EL, Wang B, Chen C, Ge J, Chu J, Zhang W, Elledge SJ, Brown M, Liu XS.","Mol Cell. 2021 Mar 18;81(6):1292-1308.e11. doi: 10.1016/j.molcel.2021.01.020. Epub 2021 Feb 9.","Tokheim C","Mol Cell","2021","2021/02/10","","","10.1016/j.molcel.2021.01.020"
"33149148","Integrated digital pathology and transcriptome analysis identifies molecular mediators of T-cell exclusion in ovarian cancer","Desbois M, Udyavar AR, Ryner L, Kozlowski C, Guan Y, Dürrbaum M, Lu S, Fortin JP, Koeppen H, Ziai J, Chang CW, Keerthivasan S, Plante M, Bourgon R, Bais C, Hegde P, Daemen A, Turley S, Wang Y.","Nat Commun. 2020 Nov 4;11(1):5583. doi: 10.1038/s41467-020-19408-2.","Desbois M","Nat Commun","2020","2020/11/05","PMC7642433","","10.1038/s41467-020-19408-2"
"33558758","Comprehensive characterization of protein-protein interactions perturbed by disease mutations","Cheng F, Zhao J, Wang Y, Lu W, Liu Z, Zhou Y, Martin WR, Wang R, Huang J, Hao T, Yue H, Ma J, Hou Y, Castrillon JA, Fang J, Lathia JD, Keri RA, Lightstone FC, Antman EM, Rabadan R, Hill DE, Eng C, Vidal M, Loscalzo J.","Nat Genet. 2021 Mar;53(3):342-353. doi: 10.1038/s41588-020-00774-y. Epub 2021 Feb 8.","Cheng F","Nat Genet","2021","2021/02/09","PMC8237108","NIHMS1702788","10.1038/s41588-020-00774-y"
"32192654","Multiple Plasma Biomarkers for Risk Stratification in Patients With Heart Failure and Preserved Ejection Fraction","Chirinos JA, Orlenko A, Zhao L, Basso MD, Cvijic ME, Li Z, Spires TE, Yarde M, Wang Z, Seiffert DA, Prenner S, Zamani P, Bhattacharya P, Kumar A, Margulies KB, Car BD, Gordon DA, Moore JH, Cappola TP.","J Am Coll Cardiol. 2020 Mar 24;75(11):1281-1295. doi: 10.1016/j.jacc.2019.12.069.","Chirinos JA","J Am Coll Cardiol","2020","2020/03/21","PMC7147356","NIHMS1568695","10.1016/j.jacc.2019.12.069"
"32051227","Mannose receptor (CD206) activation in tumor-associated macrophages enhances adaptive and innate antitumor immune responses","Jaynes JM, Sable R, Ronzetti M, Bautista W, Knotts Z, Abisoye-Ogunniyan A, Li D, Calvo R, Dashnyam M, Singh A, Guerin T, White J, Ravichandran S, Kumar P, Talsania K, Chen V, Ghebremedhin A, Karanam B, Bin Salam A, Amin R, Odzorig T, Aiken T, Nguyen V, Bian Y, Zarif JC, de Groot AE, Mehta M, Fan L, Hu X, Simeonov A, Pate N, Abu-Asab M, Ferrer M, Southall N, Ock CY, Zhao Y, Lopez H, Kozlov S, de Val N, Yates CC, Baljinnyam B, Marugan J, Rudloff U.","Sci Transl Med. 2020 Feb 12;12(530):eaax6337. doi: 10.1126/scitranslmed.aax6337.","Jaynes JM","Sci Transl Med","2020","2020/02/14","PMC7832040","NIHMS1633113","10.1126/scitranslmed.aax6337"
"33941922","Evolution of delayed resistance to immunotherapy in a melanoma responder","Liu D, Lin JR, Robitschek EJ, Kasumova GG, Heyde A, Shi A, Kraya A, Zhang G, Moll T, Frederick DT, Chen YA, Wang S, Schapiro D, Ho LL, Bi K, Sahu A, Mei S, Miao B, Sharova T, Alvarez-Breckenridge C, Stocking JH, Kim T, Fadden R, Lawrence D, Hoang MP, Cahill DP, Malehmir M, Nowak MA, Brastianos PK, Lian CG, Ruppin E, Izar B, Herlyn M, Van Allen EM, Nathanson K, Flaherty KT, Sullivan RJ, Kellis M, Sorger PK, Boland GM.","Nat Med. 2021 Jun;27(6):985-992. doi: 10.1038/s41591-021-01331-8. Epub 2021 May 3.","Liu D","Nat Med","2021","2021/05/04","PMC8474080","NIHMS1728970","10.1038/s41591-021-01331-8"
"33228719","Tumor-associated macrophage, angiogenesis and lymphangiogenesis markers predict prognosis of non-small cell lung cancer patients","Hwang I, Kim JW, Ylaya K, Chung EJ, Kitano H, Perry C, Hanaoka J, Fukuoka J, Chung JY, Hewitt SM.","J Transl Med. 2020 Nov 23;18(1):443. doi: 10.1186/s12967-020-02618-z.","Hwang I","J Transl Med","2020","2020/11/24","PMC7686699","","10.1186/s12967-020-02618-z"
"33241658","Anti-coronavirus disease 2019 (COVID-19) targets and mechanisms of puerarin","Qin X, Huang C, Wu K, Li Y, Liang X, Su M, Li R.","J Cell Mol Med. 2021 Jan;25(2):677-685. doi: 10.1111/jcmm.16117. Epub 2020 Nov 26.","Qin X","J Cell Mol Med","2021","2020/11/26","PMC7753316","","10.1111/jcmm.16117"
"33886505","The impact of tumor epithelial and microenvironmental heterogeneity on treatment responses in HER2+ breast cancer","Janiszewska M, Stein S, Metzger Filho O, Eng J, Kingston NL, Harper NW, Rye IH, Alečković M, Trinh A, Murphy KC, Marangoni E, Cristea S, Oakes B, Winer EP, Krop IE, Russnes HG, Spellman PT, Bucher E, Hu Z, Chin K, Gray JW, Michor F, Polyak K.","JCI Insight. 2021 Jun 8;6(11):e147617. doi: 10.1172/jci.insight.147617.","Janiszewska M","JCI Insight","2021","2021/04/22","PMC8262355","","10.1172/jci.insight.147617"
"31447348","LMO2 Confers Synthetic Lethality to PARP Inhibition in DLBCL","Parvin S, Ramirez-Labrada A, Aumann S, Lu X, Weich N, Santiago G, Cortizas EM, Sharabi E, Zhang Y, Sanchez-Garcia I, Gentles AJ, Roberts E, Bilbao-Cortes D, Vega F, Chapman JR, Verdun RE, Lossos IS.","Cancer Cell. 2019 Sep 16;36(3):237-249.e6. doi: 10.1016/j.ccell.2019.07.007. Epub 2019 Aug 22.","Parvin S","Cancer Cell","2019","2019/08/27","PMC6752209","NIHMS1536737","10.1016/j.ccell.2019.07.007"
"30209241","Targeting the Warburg effect via LDHA inhibition engages ATF4 signaling for cancer cell survival","Pathria G, Scott DA, Feng Y, Sang Lee J, Fujita Y, Zhang G, Sahu AD, Ruppin E, Herlyn M, Osterman AL, Ronai ZA.","EMBO J. 2018 Oct 15;37(20):e99735. doi: 10.15252/embj.201899735. Epub 2018 Sep 12.","Pathria G","EMBO J","2018","2018/09/14","PMC6187221","","10.15252/embj.201899735"
"32240714","Epigenetic footprint enables molecular risk stratification of hepatoblastoma with clinical implications","Carrillo-Reixach J, Torrens L, Simon-Coma M, Royo L, Domingo-Sàbat M, Abril-Fornaguera J, Akers N, Sala M, Ragull S, Arnal M, Villalmanzo N, Cairo S, Villanueva A, Kappler R, Garrido M, Guerra L, Sábado C, Guillén G, Mallo M, Piñeyro D, Vázquez-Vitali M, Kuchuk O, Mateos ME, Ramírez G, Santamaría ML, Mozo Y, Soriano A, Grotzer M, Branchereau S, de Andoin NG, López-Ibor B, López-Almaraz R, Salinas JA, Torres B, Hernández F, Uriz JJ, Fabre M, Blanco J, Paris C, Bajčiová V, Laureys G, Masnou H, Clos A, Belendez C, Guettier C, Sumoy L, Planas R, Jordà M, Nonell L, Czauderna P, Morland B, Sia D, Losic B, Buendia MA, Sarrias MR, Llovet JM, Armengol C.","J Hepatol. 2020 Aug;73(2):328-341. doi: 10.1016/j.jhep.2020.03.025. Epub 2020 Mar 30.","Carrillo-Reixach J","J Hepatol","2020","2020/04/03","","","10.1016/j.jhep.2020.03.025"
"33674758","Whole-organ analysis of TGF-β-mediated remodelling of the tumour microenvironment by tissue clearing","Kubota SI, Takahashi K, Mano T, Matsumoto K, Katsumata T, Shi S, Tainaka K, Ueda HR, Ehata S, Miyazono K.","Commun Biol. 2021 Mar 5;4(1):294. doi: 10.1038/s42003-021-01786-y.","Kubota SI","Commun Biol","2021","2021/03/06","PMC7935961","","10.1038/s42003-021-01786-y"
"33339831","Glioblastoma epigenome profiling identifies SOX10 as a master regulator of molecular tumour subtype","Wu Y, Fletcher M, Gu Z, Wang Q, Costa B, Bertoni A, Man KH, Schlotter M, Felsberg J, Mangei J, Barbus M, Gaupel AC, Wang W, Weiss T, Eils R, Weller M, Liu H, Reifenberger G, Korshunov A, Angel P, Lichter P, Herrmann C, Radlwimmer B.","Nat Commun. 2020 Dec 18;11(1):6434. doi: 10.1038/s41467-020-20225-w.","Wu Y","Nat Commun","2020","2020/12/19","PMC7749178","","10.1038/s41467-020-20225-w"
"32754268","Identification of a Tumor Microenvironment-relevant Gene set-based Prognostic Signature and Related Therapy Targets in Gastric Cancer","Cai WY, Dong ZN, Fu XT, Lin LY, Wang L, Ye GD, Luo QC, Chen YC.","Theranostics. 2020 Jul 9;10(19):8633-8647. doi: 10.7150/thno.47938. eCollection 2020.","Cai WY","Theranostics","2020","2020/08/06","PMC7392024","","10.7150/thno.47938"
"32297954","Modeling glioblastoma invasion using human brain organoids and single-cell transcriptomics","Krieger TG, Tirier SM, Park J, Jechow K, Eisemann T, Peterziel H, Angel P, Eils R, Conrad C.","Neuro Oncol. 2020 Aug 17;22(8):1138-1149. doi: 10.1093/neuonc/noaa091.","Krieger TG","Neuro Oncol","2020","2020/04/17","PMC7594554","","10.1093/neuonc/noaa091"
"31495665","Defining HLA-II Ligand Processing and Binding Rules with Mass Spectrometry Enhances Cancer Epitope Prediction","Abelin JG, Harjanto D, Malloy M, Suri P, Colson T, Goulding SP, Creech AL, Serrano LR, Nasir G, Nasrullah Y, McGann CD, Velez D, Ting YS, Poran A, Rothenberg DA, Chhangawala S, Rubinsteyn A, Hammerbacher J, Gaynor RB, Fritsch EF, Greshock J, Oslund RC, Barthelme D, Addona TA, Arieta CM, Rooney MS.","Immunity. 2019 Oct 15;51(4):766-779.e17. doi: 10.1016/j.immuni.2019.08.012. Epub 2019 Sep 5.","Abelin JG","Immunity","2019","2019/09/10","","","10.1016/j.immuni.2019.08.012"
"31395745","Exploring genetic interaction manifolds constructed from rich single-cell phenotypes","Norman TM, Horlbeck MA, Replogle JM, Ge AY, Xu A, Jost M, Gilbert LA, Weissman JS.","Science. 2019 Aug 23;365(6455):786-793. doi: 10.1126/science.aax4438. Epub 2019 Aug 8.","Norman TM","Science","2019","2019/08/10","PMC6746554","NIHMS1045467","10.1126/science.aax4438"
"28521821","Intratumoral and peritumoral radiomics for the pretreatment prediction of pathological complete response to neoadjuvant chemotherapy based on breast DCE-MRI","Braman NM, Etesami M, Prasanna P, Dubchuk C, Gilmore H, Tiwari P, Plecha D, Madabhushi A.","Breast Cancer Res. 2017 May 18;19(1):57. doi: 10.1186/s13058-017-0846-1.","Braman NM","Breast Cancer Res","2017","2017/05/20","PMC5437672","","10.1186/s13058-017-0846-1"
"33298926","TGFβ-blockade uncovers stromal plasticity in tumors by revealing the existence of a subset of interferon-licensed fibroblasts","Grauel AL, Nguyen B, Ruddy D, Laszewski T, Schwartz S, Chang J, Chen J, Piquet M, Pelletier M, Yan Z, Kirkpatrick ND, Wu J, deWeck A, Riester M, Hims M, Geyer FC, Wagner J, MacIsaac K, Deeds J, Diwanji R, Jayaraman P, Yu Y, Simmons Q, Weng S, Raza A, Minie B, Dostalek M, Chikkegowda P, Ruda V, Iartchouk O, Chen N, Thierry R, Zhou J, Pruteanu-Malinici I, Fabre C, Engelman JA, Dranoff G, Cremasco V.","Nat Commun. 2020 Dec 9;11(1):6315. doi: 10.1038/s41467-020-19920-5.","Grauel AL","Nat Commun","2020","2020/12/10","PMC7725805","","10.1038/s41467-020-19920-5"
"33331920","Development and Validation of a Machine Learning Model to Explore Tyrosine Kinase Inhibitor Response in Patients With Stage IV EGFR Variant-Positive Non-Small Cell Lung Cancer","Song J, Wang L, Ng NN, Zhao M, Shi J, Wu N, Li W, Liu Z, Yeom KW, Tian J.","JAMA Netw Open. 2020 Dec 1;3(12):e2030442. doi: 10.1001/jamanetworkopen.2020.30442.","Song J","JAMA Netw Open","2020","2020/12/17","PMC7747022","","10.1001/jamanetworkopen.2020.30442"
"34518534","The ubiquitin ligase RNF5 determines acute myeloid leukemia growth and susceptibility to histone deacetylase inhibitors","Khateb A, Deshpande A, Feng Y, Finlay D, Lee JS, Lazar I, Fabre B, Li Y, Fujita Y, Zhang T, Yin J, Pass I, Livneh I, Jeremias I, Burian C, Mason JR, Almog R, Horesh N, Ofran Y, Brown K, Vuori K, Jackson M, Ruppin E, Deshpande AJ, Ronai ZA.","Nat Commun. 2021 Sep 13;12(1):5397. doi: 10.1038/s41467-021-25664-7.","Khateb A","Nat Commun","2021","2021/09/14","PMC8437979","","10.1038/s41467-021-25664-7"
"34737445","FGFR-inhibitor-mediated dismissal of SWI/SNF complexes from YAP-dependent enhancers induces adaptive therapeutic resistance","Li Y, Qiu X, Wang X, Liu H, Geck RC, Tewari AK, Xiao T, Font-Tello A, Lim K, Jones KL, Morrow M, Vadhi R, Kao PL, Jaber A, Yerrum S, Xie Y, Chow KH, Cejas P, Nguyen QD, Long HW, Liu XS, Toker A, Brown M.","Nat Cell Biol. 2021 Nov;23(11):1187-1198. doi: 10.1038/s41556-021-00781-z. Epub 2021 Nov 4.","Li Y","Nat Cell Biol","2021","2021/11/05","","","10.1038/s41556-021-00781-z"
"31825825","CD36-Mediated Metabolic Rewiring of Breast Cancer Cells Promotes Resistance to HER2-Targeted Therapies","Feng WW, Wilkins O, Bang S, Ung M, Li J, An J, Del Genio C, Canfield K, DiRenzo J, Wells W, Gaur A, Robey RB, Guo JY, Powles RL, Sotiriou C, Pusztai L, Febbraio M, Cheng C, Kinlaw WB, Kurokawa M.","Cell Rep. 2019 Dec 10;29(11):3405-3420.e5. doi: 10.1016/j.celrep.2019.11.008.","Feng WW","Cell Rep","2019","2019/12/12","PMC6938262","NIHMS1546464","10.1016/j.celrep.2019.11.008"
"29990498","Epidermal Growth Factor Receptor Extracellular Domain Mutations in Glioblastoma Present Opportunities for Clinical Imaging and Therapeutic Development","Binder ZA, Thorne AH, Bakas S, Wileyto EP, Bilello M, Akbari H, Rathore S, Ha SM, Zhang L, Ferguson CJ, Dahiya S, Bi WL, Reardon DA, Idbaih A, Felsberg J, Hentschel B, Weller M, Bagley SJ, Morrissette JJD, Nasrallah MP, Ma J, Zanca C, Scott AM, Orellana L, Davatzikos C, Furnari FB, O'Rourke DM.","Cancer Cell. 2018 Jul 9;34(1):163-177.e7. doi: 10.1016/j.ccell.2018.06.006.","Binder ZA","Cancer Cell","2018","2018/07/11","PMC6424337","NIHMS978304","10.1016/j.ccell.2018.06.006"
"33495197","TNIK Is a Therapeutic Target in Lung Squamous Cell Carcinoma and Regulates FAK Activation through Merlin","Torres-Ayuso P, An E, Nyswaner KM, Bensen RC, Ritt DA, Specht SI, Das S, Andresson T, Cachau RE, Liang RJ, Ries AL, Robinson CM, Difilippantonio S, Gouker B, Bassel L, Karim BO, Miller CJ, Turk BE, Morrison DK, Brognard J.","Cancer Discov. 2021 Jun;11(6):1411-1423. doi: 10.1158/2159-8290.CD-20-0797. Epub 2021 Jan 25.","Torres-Ayuso P","Cancer Discov","2021","2021/01/26","PMC8178189","NIHMS1668020","10.1158/2159-8290.CD-20-0797"
"33777802","Patients With Short PFS to EGFR-TKIs Predicted Better Response to Subsequent Anti-PD-1/PD-L1 Based Immunotherapy in EGFR Common Mutation NSCLC","Liu S, Wu F, Li X, Zhao C, Jia Y, Jia K, Han R, Qiao M, Li W, Yu J, Zhou F, Xiong A, Chen B, Fan J, Ren S, Zhou C.","Front Oncol. 2021 Mar 11;11:639947. doi: 10.3389/fonc.2021.639947. eCollection 2021.","Liu S","Front Oncol","2021","2021/03/29","PMC7991800","","10.3389/fonc.2021.639947"
